code,name,enname,pct_chg_exact,limit_up_count,up_count,up_true_count,limit_up_used,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
601608,中信重工,"CITIC Heavy Industries Co., Ltd",1.1,0,3,0,False,3.63,3.69,3.56,3.67,3.63,0.04,3.58,128721.66,46842.301,SH,0.2966,1.24,3.63,3.09,3.61,2.23,3.56,5.46
601611,中国核建,China Nuclear Engineering & Construction Corporation Limited,1.76,0,2,0,False,6.78,7.03,6.76,6.93,6.81,0.12,3.96,107372.0,74531.426,SH,0.409,2.65,6.83,1.91,6.82,3.28,6.8,2.06
601618,中国中冶,Metallurgical Corporation of China Ltd.,3.41,0,3,0,False,2.63,2.75,2.63,2.73,2.64,0.09,4.55,725553.17,195991.035,SH,0.4064,2.42,2.66,5.81,2.63,5.41,2.62,2.63
601666,平煤股份,"Pingdingshan Tianan Coal. Mining Co.,Ltd.",3.94,0,2,1,False,3.82,3.97,3.82,3.96,3.81,0.15,3.94,424517.19,166685.494,SH,1.7979,4.83,3.85,5.04,3.81,5.88,3.78,6.17
601668,中国建筑,China State Construction Engineering Corporation Limited,3.55,0,2,2,False,5.08,5.27,5.07,5.25,5.07,0.18,3.94,3215611.97,1676660.447,SH,0.7816,2.76,5.11,4.79,5.07,5.21,5.04,4.37
601669,中国电建,"Power Construction Corporation of China,Ltd",3.18,0,2,0,False,4.08,4.27,4.08,4.22,4.09,0.13,4.65,1049729.97,438535.319,SH,0.9419,3.04,4.11,3.94,4.11,2.68,4.15,-2.09
601678,滨化股份,"Befar Group Co., Ltd",0.64,0,2,0,False,4.65,4.73,4.62,4.73,4.7,0.03,2.34,75153.56,35241.065,SH,0.4866,1.14,4.68,1.5,4.68,1.28,4.71,0.0
601699,潞安环能,"Shanxi Lu’an Environmental EnergyDev. Co.,Ltd",3.31,0,6,2,False,6.98,7.21,6.96,7.17,6.94,0.23,3.6,315072.62,224771.376,SH,1.0533,2.62,6.98,5.13,6.89,7.82,6.75,8.14
601718,际华集团,Jihua Group Corporation Limited,0.95,0,2,0,False,3.16,3.21,3.13,3.2,3.17,0.03,2.52,167064.96,52891.477,SH,0.3804,1.38,3.16,3.23,3.14,3.9,3.14,0.63
601727,上海电气,Shanghai Electric Group Company Limited,1.29,0,2,0,False,4.66,4.75,4.64,4.72,4.66,0.06,2.36,116083.01,54625.963,SH,0.1129,1.37,4.67,1.72,4.67,1.94,4.69,-2.48
601766,中国中车,CRRC Corporation Limited,1.88,0,2,2,False,6.92,7.1,6.91,7.04,6.91,0.13,2.75,584353.46,410709.052,SH,0.255,1.98,6.94,2.33,6.93,2.33,6.94,-1.12
601800,中国交建,China Communications Construction Company Limited,6.44,0,3,0,False,8.68,9.37,8.67,9.26,8.7,0.56,8.05,1171228.52,1063995.044,SH,0.997,3.39,8.79,10.63,8.66,9.33,8.62,4.99
601808,中海油服,China Oilfield Services Limited,1.38,0,2,0,False,16.65,17.0,16.26,16.88,16.65,0.23,4.44,124742.81,208113.68,SH,0.4214,0.85,16.5,3.81,16.34,6.84,15.76,12.68
601865,福莱特,"Flat Glass Group Co., Ltd",4.4,0,2,1,False,10.06,10.36,9.86,10.2,9.77,0.43,5.12,388879.99,392980.947,SH,25.9253,5.33,9.62,13.59,9.37,14.61,9.15,13.97
601866,中远海发,Cosco Shipping Development Company Limited,1.21,0,3,0,False,2.47,2.52,2.47,2.51,2.48,0.03,2.02,125631.01,31415.041,SH,0.1584,1.52,2.49,2.03,2.48,2.45,2.48,2.03
601869,长飞光纤,Yangtze Optical Fibre and Cable Joint Stock Limited Company,0.63,0,2,1,False,31.9,32.29,31.8,32.05,31.85,0.2,1.54,8560.34,27384.006,SH,0.8032,0.96,31.87,0.47,31.94,1.26,31.82,0.12
601877,正泰电器,"Zhejiang Chint Electrics Co.,Ltd.",0.86,0,2,0,False,23.26,23.55,23.01,23.49,23.29,0.2,2.32,115028.19,267592.777,SH,0.6501,1.48,23.28,0.51,23.37,0.21,23.31,0.0
601882,海天精工,"Ningbo Haitian Precision Machinery Co., Ltd.",0.14,0,3,2,False,7.16,7.17,6.94,7.14,7.13,0.01,3.23,9288.56,6547.963,SH,0.1779,1.05,7.09,2.88,7.05,3.48,7.07,-0.83
601899,紫金矿业,Zijin Mining Group Company Limited,4.14,0,3,1,False,3.67,3.8,3.63,3.77,3.62,0.15,4.7,2984474.99,1111055.352,SH,1.5527,1.65,3.64,9.59,3.57,9.59,3.56,8.65
601933,永辉超市,"Yonghui Superstores Co., Ltd.",1.05,0,2,0,False,7.59,7.68,7.5,7.67,7.59,0.08,2.37,473185.01,359819.778,SH,0.4999,1.68,7.6,1.46,7.61,-0.26,7.66,-1.92
