code,name,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date
300769,德方纳米,37.5455,36.7495,4.0394,3.4962,3.6708,4274.5652,1069.0,1069.0,368382.0289,92126.42,深圳,化工原料,深圳市德方纳米科技股份有限公司,"Shenzhen Dynanonic Co.,Ltd",创业板,SZSE,CNY,L,20190415,
300770,新媒股份,76.2566,47.9847,7.581,24.3294,16.8343,12836.5637,3210.0,3210.0,1564777.115,391299.0,广东,影视音像,广东南方新媒体股份有限公司,"Guangdong South New Media Co.,Ltd",创业板,SZSE,CNY,L,20190419,
300771,智莱科技,25.189,19.9461,3.497,5.9901,5.3909,10000.0,2500.0,2500.0,532300.0,133075.0,深圳,IT设备,深圳市智莱科技股份有限公司,"Shenzhen Zhilai Sci and Tech Co., Ltd.",创业板,SZSE,CNY,L,20190422,
300772,运达股份,37.1681,21.0739,3.0982,1.351,0.988,29396.0,7349.0,7349.0,447407.12,111851.78,浙江,电气设备,浙江运达风电股份有限公司,"Zhejiang Windey Co.,Ltd",创业板,SZSE,CNY,L,20190426,
300773,拉卡拉,31.5475,25.9012,3.9702,3.33,3.668,40001.0,4001.0,4001.0,1891247.28,189167.28,北京,软件服务,拉卡拉支付股份有限公司,"Lakala Payment Co.,Ltd.",创业板,SZSE,CNY,L,20190425,
300775,三角防务,115.656,98.2168,10.1241,37.1527,30.4228,49550.0,4955.0,4955.0,1730286.0,173028.6,陕西,航空,西安三角防务股份有限公司,"Xi'an Triangle Defense Co.,Ltd",创业板,SZSE,CNY,L,20190521,
300776,帝尔激光,48.7983,29.6096,5.945,22.4553,13.0134,6612.515,1653.6,1653.6,819356.7337,204897.576,湖北,专用机械,武汉帝尔激光科技股份有限公司,"Wuhan Dr Laser Technology Corp., Ltd",创业板,SZSE,CNY,L,20190517,
300777,中简科技,100.9139,81.3646,13.2515,57.1979,48.3118,40001.0,4001.0,4001.0,1216030.4,121630.4,江苏,化纤,中简科技股份有限公司,"Sinofibers Technology Co.,Ltd.",创业板,SZSE,CNY,L,20190516,
300778,新城市,31.7215,28.1688,3.5748,7.1573,7.1608,8000.0,2000.0,2000.0,318880.0,79720.0,深圳,建筑工程,深圳市新城市规划建筑设计股份有限公司,"Shenzhen New Land Tool Planning & Architectural Design Co.,Ltd.",创业板,SZSE,CNY,L,20190510,
300779,惠城环保,42.5906,42.9061,4.2039,7.8954,7.3567,10000.0,2500.0,2500.0,271500.0,67875.0,山东,环境保护,青岛惠城环保科技股份有限公司,"Qingdao Huicheng Environmental Technology Co., Ltd.",创业板,SZSE,CNY,L,20190522,
300780,德恩精工,38.041,39.7343,3.0977,5.5642,5.7295,14667.0,3667.0,3667.0,298033.44,74513.44,四川,机械基件,四川德恩精工科技股份有限公司,"Sichuan Dawn Precision Technology Co.,Ltd",创业板,SZSE,CNY,L,20190531,
300781,因赛集团,39.7926,45.799,4.3219,6.1712,6.5047,8454.142,2113.5355,2113.5355,261317.5292,65329.3823,广东,广告包装,广东因赛品牌营销集团股份有限公司,"Guangdong Insight Brand Marketing Group Co.,Ltd.",创业板,SZSE,CNY,L,20190606,
300782,卓胜微,254.0335,118.5985,26.9671,73.6143,37.3197,10000.0,2500.0,2500.0,4123800.0,1030950.0,江苏,元器件,江苏卓胜微电子股份有限公司,Maxscend Microelectronics Company Limited,创业板,SZSE,CNY,L,20190618,
300783,三只松鼠,75.6181,69.2691,11.7699,3.2819,2.5401,40100.0,4100.0,4100.0,2297730.0,234930.0,安徽,食品,三只松鼠股份有限公司,Three Squirrels Inc.,创业板,SZSE,CNY,L,20190712,
